English Word,French Word,Frequency
maiden,jeune fille,401,
companion,un compagnon,1434,
suddenly,tout à coup,377,
rotten,pourri,3278,
though,bien que,201,
shore,bien que,81,
action,pensée,279,
chain,rive,370,
together,action,2531,
judgment,chaîne,364,
hands,ensemble,404,
tedious,jugement,407,
court,mains,417,
lieutenant,fastidieux,369,
shepherd,tribunal,371,
brother,courtoisie,365,
fought,lieutenant,366,
throw,berger,731,
tongue,frère,727,
struck,combattu,663,
cloten,jeter,385,
valour,langue,363,
stain,frappé,363,
ambition,cailloter,367,
earth,valeur,712,
hanging,tache,363,
always,ambition,363,
bottom,Terre,329,
flower,pendaison,56,
oaths,toujours,294,
forbear,bas,475,
although,fleur,602,
sight,fleurs,205,
speak,serments,701,
breath,ancêtre,2161,
suffolk,bien que,291,
stand,vue,86,
credit,parler,84,
discourse,parle,441,
grief,souffle,3750,
cupid,suffolk,667,
kindness,supporter,641,
sweet,comprendre,69,
madness,crédit,71,
drums,discours,860,
shows,douleur,1819,
pistol,Cupidon,171,
blest,la gentillesse,220,
great,sucré,56,
thrust,la démence,171,
leave,tambours,3684,
assure,montre,183,
maintain,pistolet,1143,
witch,heureux,231,
natural,génial,333,
within,poussée,165,
pompey,laisser,117,
deserve,assurer,77,
fancy,maintenir,581,
daughter,sorcière,175,
kneel,Naturel,271,
forces,dans,125,
worth,pompey,112,
before,mériter,1223,
guard,fantaisie,81,
truly,fille,149,
minds,s'agenouiller,70,
falls,les forces,789,
perfect,indigne,302,
office,vaut,248,
loves,avant,393,
didst,garde,852,
cross,vraiment,71,
shortly,esprits,81,
whether,des chutes,334,
policy,parfait,249,
drawn,Bureau,545,
state,aime,90,
fruit,didst,1739,
green,traverser,198,
misery,prochainement,360,
another,qu'il s'agisse,359,
affairs,politique,775,
maids,tiré,1632,
country,biens,244,
stood,Etat,78,
desire,fruit,120,
herself,vert,465,
commit,misère,124,
dying,un autre,2165,
padua,affaires,1354,
these,servantes,117,
lordship,pays,152,
finds,se tenait,93,
thrive,le désir,252,
belike,se,70,
painter,commettre,296,
deadly,en train de mourir,5818,
villain,Padoue,291,
enemy,celles-ci,429,
speech,seigneurie,320,
crown,trouve,1044,
mariana,prospérer,76,
flesh,être comme,494,
dwell,peintre,282,
chamber,mortel,679,
match,scélérat,429,
